Year	disease	sex	age_group	AAF	LL	UL	muertes	att_mort	att_mort_low	att_mort_up
2012	Breast Cancer	Female	15-29	0,028	0,023	0,034	3	0	0	0
2012	Breast Cancer	Female	30-44	0,02	0,016	0,024	116	2	2	3
2012	Breast Cancer	Female	45-59	0,018	0,014	0,022	372	7	5	8
2012	Breast Cancer	Female	60+	0,014	0,01	0,017	876	12	9	15
2014	Breast Cancer	Female	15-29	0,034	0,028	0,04	6	0	0	0
2014	Breast Cancer	Female	30-44	0,031	0,025	0,037	122	4	3	5
2014	Breast Cancer	Female	45-59	0,026	0,022	0,032	393	10	9	13
2014	Breast Cancer	Female	60+	0,021	0,017	0,026	901	19	15	23
2016	Breast Cancer	Female	15-29	0,034	0,028	0,041	4	0	0	0
2016	Breast Cancer	Female	30-44	0,026	0,022	0,032	114	3	3	4
2016	Breast Cancer	Female	45-59	0,02	0,016	0,024	415	8	7	10
2016	Breast Cancer	Female	60+	0,015	0,012	0,019	957	14	11	18
2018	Breast Cancer	Female	15-29	0,029	0,023	0,035	9	0	0	0
2018	Breast Cancer	Female	30-44	0,027	0,022	0,033	145	4	3	5
2018	Breast Cancer	Female	45-59	0,018	0,014	0,022	372	7	5	8
2018	Breast Cancer	Female	60+	0,014	0,011	0,018	1026	14	11	18
2020	Breast Cancer	Female	15-29	0,032	0,026	0,038	7	0	0	0
2020	Breast Cancer	Female	30-44	0,032	0,026	0,038	128	4	3	5
2020	Breast Cancer	Female	45-59	0,025	0,021	0,03	420	10	9	13
2020	Breast Cancer	Female	60+	0,018	0,014	0,022	1089	20	15	24
2022	Breast Cancer	Female	15-29	0,029	0,024	0,035	7	0	0	0
2022	Breast Cancer	Female	30-44	0,03	0,024	0,036	127	4	3	5
2022	Breast Cancer	Female	45-59	0,02	0,016	0,024	404	8	6	10
2022	Breast Cancer	Female	60+	0,014	0,011	0,018	1167	16	13	21
2024	Breast Cancer	Female	15-29	0,023	0,018	0,028	4	0	0	0
2024	Breast Cancer	Female	30-44	0,027	0,022	0,033	158	4	3	5
2024	Breast Cancer	Female	45-59	0,019	0,015	0,023	395	8	6	9
2024	Breast Cancer	Female	60+	0,011	0,008	0,015	1283	14	10	19
2012	Colorectal Cancer	Female	15-29	0,039	0,033	0,047	3	0	0	0
2012	Colorectal Cancer	Female	30-44	0,032	0,028	0,037	34	1	1	1
2012	Colorectal Cancer	Female	45-59	0,03	0,026	0,034	155	5	4	5
2012	Colorectal Cancer	Female	60+	0,026	0,023	0,03	938	24	22	28
2014	Colorectal Cancer	Female	15-29	0,046	0,038	0,055	2	0	0	0
2014	Colorectal Cancer	Female	30-44	0,043	0,035	0,05	40	2	1	2
2014	Colorectal Cancer	Female	45-59	0,039	0,033	0,046	190	7	6	9
2014	Colorectal Cancer	Female	60+	0,033	0,029	0,038	1000	33	29	38
2016	Colorectal Cancer	Female	15-29	0,044	0,036	0,052	2	0	0	0
2016	Colorectal Cancer	Female	30-44	0,04	0,034	0,045	33	1	1	1
2016	Colorectal Cancer	Female	45-59	0,034	0,03	0,039	181	6	5	7
2016	Colorectal Cancer	Female	60+	0,032	0,029	0,035	1110	36	32	39
2018	Colorectal Cancer	Female	15-29	0,041	0,034	0,048	2	0	0	0
2018	Colorectal Cancer	Female	30-44	0,04	0,034	0,046	54	2	2	2
2018	Colorectal Cancer	Female	45-59	0,035	0,031	0,039	215	8	7	8
2018	Colorectal Cancer	Female	60+	0,032	0,029	0,036	1118	36	32	40
2020	Colorectal Cancer	Female	15-29	0,047	0,039	0,056	6	0	0	0
2020	Colorectal Cancer	Female	30-44	0,045	0,038	0,053	48	2	2	3
2020	Colorectal Cancer	Female	45-59	0,041	0,035	0,047	232	10	8	11
2020	Colorectal Cancer	Female	60+	0,037	0,033	0,041	1248	46	41	51
2022	Colorectal Cancer	Female	15-29	0,045	0,037	0,052	6	0	0	0
2022	Colorectal Cancer	Female	30-44	0,044	0,037	0,051	66	3	2	3
2022	Colorectal Cancer	Female	45-59	0,037	0,033	0,042	237	9	8	10
2022	Colorectal Cancer	Female	60+	0,033	0,03	0,037	1400	46	42	52
2024	Colorectal Cancer	Female	15-29	0,037	0,031	0,043	3	0	0	0
2024	Colorectal Cancer	Female	30-44	0,044	0,037	0,051	62	3	2	3
2024	Colorectal Cancer	Female	45-59	0,036	0,031	0,041	251	9	8	10
2024	Colorectal Cancer	Female	60+	0,032	0,028	0,035	1590	51	45	56
2012	Colorectal Cancer	Male	15-29	0,242	0,222	0,261	3	1	1	1
2012	Colorectal Cancer	Male	30-44	0,273	0,253	0,292	36	10	9	11
2012	Colorectal Cancer	Male	45-59	0,3	0,28	0,318	149	45	42	47
2012	Colorectal Cancer	Male	60+	0,314	0,297	0,331	825	259	245	273
2014	Colorectal Cancer	Male	15-29	0,278	0,258	0,297	9	3	2	3
2014	Colorectal Cancer	Male	30-44	0,283	0,262	0,303	39	11	10	12
2014	Colorectal Cancer	Male	45-59	0,328	0,309	0,346	179	59	55	62
2014	Colorectal Cancer	Male	60+	0,325	0,307	0,342	978	318	300	334
2016	Colorectal Cancer	Male	15-29	0,286	0,267	0,305	8	2	2	2
2016	Colorectal Cancer	Male	30-44	0,303	0,284	0,32	56	17	16	18
