Year	disease	sex	age_group	AAF	LL	UL	muertes	att_mort	att_mort_low	att_mort_up
2012	Breast Cancer	Female	60+	0.013741812204492238	0.010282607520912089	0.01740072356666164	876	12	9	15
2014	Breast Cancer	Female	60+	0.021674513096734557	0.016709928961463488	0.02701331879095454	901	20	15	24
2016	Breast Cancer	Female	60+	0.016752895248866702	0.012307667632250444	0.02200217507595912	957	16	12	21
2018	Breast Cancer	Female	60+	0.01414807943908154	0.009890492739599894	0.019060251892454444	1026	15	10	20
2020	Breast Cancer	Female	60+	0.018118109931497376	0.013229279207889308	0.02374520893086552	1089	20	14	26
2022	Breast Cancer	Female	60+	0.014891633048997016	0.011684877627070494	0.018417134234086606	1167	17	14	21
2024	Breast Cancer	Female	60+	0.01180843910517179	0.008854176080439688	0.014883614967571904	1283	15	11	19
2012	Colorectal Cancer	Female	60+	0.028506057277806942	-0.06099207844336756	0.1271955370314845	938	27	-57	119
2012	Colorectal Cancer	Male	60+	0.3120747297390572	0.2671274617595409	0.3572040052234952	825	257	220	295
2014	Colorectal Cancer	Female	60+	0.03668170934732753	-0.059202137535833574	0.14151326526804375	1000	37	-59	142
2014	Colorectal Cancer	Male	60+	0.3250224084121395	0.2805404309583992	0.36818161404881916	978	318	274	360
2016	Colorectal Cancer	Female	60+	0.0334363250951664	-0.08446467121015658	0.15436127729523652	1110	37	-94	171
2016	Colorectal Cancer	Male	60+	0.3519145134843906	0.30747884494699695	0.39488781566934605	1004	353	309	396
2018	Colorectal Cancer	Female	60+	0.03302814931074893	-0.09248555010233189	0.1597776096732915	1118	37	-103	179
2018	Colorectal Cancer	Male	60+	0.3459479675026695	0.30129760470589395	0.39037379339547673	1161	402	350	453
2020	Colorectal Cancer	Female	60+	0.038977615328352776	-0.09213589945596534	0.17071529229287627	1248	49	-115	213
2020	Colorectal Cancer	Male	60+	0.3582464719269738	0.31382286303638224	0.40085865234747964	1342	481	421	538
2022	Colorectal Cancer	Female	60+	0.035550956022185165	-0.08821893130852776	0.16174170710078872	1400	50	-124	226
2022	Colorectal Cancer	Male	60+	0.37378285315167237	0.3335745410970387	0.4138931180258786	1457	545	486	603
2024	Colorectal Cancer	Female	60+	0.03508025964188574	-0.09109178228914144	0.16493240998282213	1590	56	-145	262
2024	Colorectal Cancer	Male	60+	0.380641709390067	0.3378055772009435	0.421735826961127	1657	631	560	699
2012	Larynx Cancer	Female	60+	0.08171408745960274	-0.08760682102264285	0.28111438846277914	21	2	-2	6
2012	Larynx Cancer	Male	60+	0.15183062428889407	0.001901016912732798	0.3280982524343623	102	15	0	33
2014	Larynx Cancer	Female	60+	0.09957937565243921	-0.07829730030022473	0.30540172363947854	23	2	-2	7
2014	Larynx Cancer	Male	60+	0.1836301823317591	0.03251302683515953	0.3482398113912011	112	21	4	39
2016	Larynx Cancer	Female	60+	0.09627328216700283	-0.12801997560221026	0.3276303269501654	15	1	-2	5
2016	Larynx Cancer	Male	60+	0.15070834852257078	-0.043437766204930964	0.35893100067073785	86	13	-4	31
2018	Larynx Cancer	Female	60+	0.09688872284463772	-0.1421691886120818	0.3385907508142578	22	2	-3	7
2018	Larynx Cancer	Male	60+	0.1465185873669259	-0.043493840996083784	0.3535913012750816	98	14	-4	35
2020	Larynx Cancer	Female	60+	0.11070346714492853	-0.13555508102885938	0.3552287239199457	13	1	-2	5
2020	Larynx Cancer	Male	60+	0.17934353720795604	-0.0066855497098942335	0.37316083505212083	104	19	-1	39
2022	Larynx Cancer	Female	60+	0.10286777937355501	-0.13224990501997747	0.3409435684994239	20	2	-3	7
2022	Larynx Cancer	Male	60+	0.17815037080453508	-0.022904678214604235	0.3863141467519161	113	20	-3	44
2024	Larynx Cancer	Female	60+	0.10263877830814626	-0.13600249786434085	0.34745731712898265	21	2	-3	7
2024	Larynx Cancer	Male	60+	0.16197097038766056	-0.05811849969883388	0.3843579192484328	118	19	-7	45
2012	Liver Cancer	Female	60+	0.359721094533847	0.16182704714508656	0.5458633892537352	447	161	72	244
2012	Liver Cancer	Male	60+	0.30776365882657625	0.12873608138357992	0.4897521872239961	511	157	66	250
2014	Liver Cancer	Female	60+	0.3767411543210273	0.17030568163915075	0.5677492719961055	510	192	87	290
2014	Liver Cancer	Male	60+	0.31706663802819735	0.1321178140043092	0.49224920964604985	532	169	70	262
2016	Liver Cancer	Female	60+	0.4202299091287891	0.19936737129190146	0.6062302448980746	513	216	102	311
2016	Liver Cancer	Male	60+	0.3507506384743158	0.14103402543592258	0.5399129719340878	569	200	80	307
2018	Liver Cancer	Female	60+	0.43248545777017083	0.20517182954229196	0.6182338297045524	528	228	108	326
2018	Liver Cancer	Male	60+	0.34490127613356103	0.13575472180485024	0.5343069142934044	644	222	87	344
2020	Liver Cancer	Female	60+	0.4504466926663045	0.22746998997824824	0.6333598625853785	591	266	134	374
2020	Liver Cancer	Male	60+	0.3537936954731714	0.14881248820076173	0.5359955548790082	673	238	100	361
2022	Liver Cancer	Female	60+	0.43800011238980213	0.21984624405307063	0.6203223315809927	595	261	131	369
2022	Liver Cancer	Male	60+	0.37073444365696767	0.15869408544156458	0.5595441219534799	674	250	107	377
2024	Liver Cancer	Female	60+	0.43661897957169854	0.20844201626257997	0.6236984579793834	686	300	143	428
2024	Liver Cancer	Male	60+	0.38010459799192187	0.15444042177668868	0.5695664952965787	805	306	124	459
2012	Oesophagus Cancer	Female	60+	0.07431057614123025	-0.06896056035808103	0.2413567839626861	220	16	-15	53
2012	Oesophagus Cancer	Male	60+	0.1425093206029786	0.01479207816704056	0.2905044428683995	345	49	5	100
2014	Oesophagus Cancer	Female	60+	0.0910466090388797	-0.06144280086691011	0.2653375694907889	250	23	-15	66
2014	Oesophagus Cancer	Male	60+	0.17481811746476933	0.04640499441754366	0.3119441982428292	336	59	16	105
2016	Oesophagus Cancer	Female	60+	0.08713027634958584	-0.10333683261963905	0.2829624888014572	202	18	-21	57
2016	Oesophagus Cancer	Male	60+	0.14015439719604322	-0.025360191244046145	0.3170320654794196	380	53	-10	120
2018	Oesophagus Cancer	Female	60+	0.0876883690038611	-0.11619080253417577	0.2936378591528447	227	20	-26	67
2018	Oesophagus Cancer	Male	60+	0.1361414858652721	-0.026589787733682407	0.3116416515444079	354	48	-9	110
2020	Oesophagus Cancer	Female	60+	0.10072722790254465	-0.10994033721885409	0.30937453405696763	211	21	-23	65
