Year	disease	sex	age_group	AAF	LL	UL	muertes	att_mort	att_mort_low	att_mort_up
2012	Breast Cancer	Female	15-29	0.0310631655812808	0.024751887961176947	0.03805392985521825	3	0	0	0
2012	Breast Cancer	Female	30-44	0.022303967547439577	0.01790042988126	0.027113862835465873	116	3	2	3
2012	Breast Cancer	Female	45-59	0.023740619447701807	0.01786582849010304	0.029395651598292584	372	9	7	11
2012	Breast Cancer	Female	60+	0.013741812204492238	0.010282607520912089	0.01740072356666164	876	12	9	15
2014	Breast Cancer	Female	15-29	0.03294746002959647	0.02711035383747195	0.03920399923462119	6	0	0	0
2014	Breast Cancer	Female	30-44	0.03292918879512419	0.026491100101355056	0.03958882069796299	122	4	3	5
2014	Breast Cancer	Female	45-59	0.02511820318961273	0.02059964228734375	0.029839687877673993	393	10	8	12
2014	Breast Cancer	Female	60+	0.021674513096734557	0.016709928961463488	0.02701331879095454	901	20	15	24
2016	Breast Cancer	Female	15-29	0.034453471351363556	0.027839684482609227	0.04161573256900623	4	0	0	0
2016	Breast Cancer	Female	30-44	0.033036967581529596	0.026163686044838545	0.04052970254238721	114	4	3	5
2016	Breast Cancer	Female	45-59	0.019575953643438983	0.015312287344556455	0.02407420385188635	415	8	6	10
2016	Breast Cancer	Female	60+	0.016752895248866702	0.012307667632250444	0.02200217507595912	957	16	12	21
2018	Breast Cancer	Female	15-29	0.02647382546215396	0.021772661894104987	0.031492050273437946	9	0	0	0
2018	Breast Cancer	Female	30-44	0.024620267451200543	0.02007959125162242	0.029515781426702456	145	4	3	4
2018	Breast Cancer	Female	45-59	0.015252800795761186	0.012055193013751036	0.018703407793033623	372	6	4	7
2018	Breast Cancer	Female	60+	0.01414807943908154	0.009890492739599894	0.019060251892454444	1026	15	10	20
2020	Breast Cancer	Female	15-29	0.030912144117970858	0.024992706469206736	0.03743504325149556	7	0	0	0
2020	Breast Cancer	Female	30-44	0.029007349739914718	0.02312584314771602	0.03538766820938306	128	4	3	5
2020	Breast Cancer	Female	45-59	0.027101767359501427	0.021253580259542392	0.033396551541325925	420	11	9	14
2020	Breast Cancer	Female	60+	0.018118109931497376	0.013229279207889308	0.02374520893086552	1089	20	14	26
2022	Breast Cancer	Female	15-29	0.02847394790058845	0.023466436385782642	0.03387206048632848	7	0	0	0
2022	Breast Cancer	Female	30-44	0.030809185592536904	0.025717886994503787	0.0363134292757377	127	4	3	5
2022	Breast Cancer	Female	45-59	0.019411014200160812	0.01575793827456585	0.02333111042555274	404	8	6	9
2022	Breast Cancer	Female	60+	0.014891633048997016	0.011684877627070494	0.018417134234086606	1167	17	14	21
2024	Breast Cancer	Female	15-29	0.024626885790778586	0.018609981966857578	0.03146511599451464	4	0	0	0
