Year,disease,sex,age_group,AAF_pipeline,LL_pipeline,UL_pipeline,muertes_pipeline,att_mort_pipeline,att_mort_low_pipeline,att_mort_up_pipeline,AAF_jrt,LL_jrt,UL_jrt,muertes_jrt,att_mort_jrt,att_mort_low_jrt,att_mort_up_jrt,diff_AAF,diff_muertes,diff_att_mort
2012,Breast Cancer,Female,60+,0.01,0.01,0.02,876,9,9,18,0.014,0.01,0.017,876,12,9,15,-0.004,0,-3
2014,Breast Cancer,Female,60+,0.02,0.02,0.03,901,18,18,27,0.021,0.017,0.026,901,19,15,23,-0.0010000000000000009,0,-1
2016,Breast Cancer,Female,60+,0.02,0.01,0.02,957,19,10,19,0.015,0.012,0.019,957,14,11,18,0.005000000000000001,0,5
2018,Breast Cancer,Female,60+,0.01,0.01,0.02,1026,10,10,21,0.014,0.011,0.018,1026,14,11,18,-0.004,0,-4
2020,Breast Cancer,Female,60+,0.02,0.01,0.02,1089,22,11,22,0.018,0.014,0.022,1089,20,15,24,0.0020000000000000018,0,2
2022,Breast Cancer,Female,60+,0.01,0.01,0.02,1167,12,12,23,0.014,0.011,0.018,1167,16,13,21,-0.004,0,-4
2024,Breast Cancer,Female,60+,0.01,0.01,0.02,1283,13,13,26,0.011,0.008,0.015,1283,14,10,19,-9.999999999999992e-4,0,-1
2012,Colorectal Cancer,Female,60+,0.03,-0.06,0.12,938,28,-56,113,0.026,0.023,0.03,938,24,22,28,0.004,0,4
2012,Colorectal Cancer,Male,60+,0.31,0.27,0.36,825,256,223,297,0.314,0.297,0.331,825,259,245,273,-0.0040000000000000036,0,-3
2014,Colorectal Cancer,Female,60+,0.03,-0.06,0.14,1000,30,-60,140,0.033,0.029,0.038,1000,33,29,38,-0.0030000000000000027,0,-3
2014,Colorectal Cancer,Male,60+,0.32,0.27,0.37,978,313,264,362,0.325,0.307,0.342,978,318,300,334,-0.0050000000000000044,0,-5
2016,Colorectal Cancer,Female,60+,0.03,-0.08,0.15,1110,33,-89,166,0.032,0.029,0.035,1110,36,32,39,-0.0020000000000000018,0,-3
2016,Colorectal Cancer,Male,60+,0.35,0.3,0.4,1004,351,301,402,0.354,0.338,0.368,1004,355,339,369,-0.0040000000000000036,0,-4
2018,Colorectal Cancer,Female,60+,0.03,-0.09,0.16,1118,34,-101,179,0.032,0.029,0.036,1118,36,32,40,-0.0020000000000000018,0,-2
2018,Colorectal Cancer,Male,60+,0.35,0.3,0.4,1161,406,348,464,0.353,0.337,0.368,1161,410,391,427,-0.0030000000000000027,0,-4
2020,Colorectal Cancer,Female,60+,0.04,-0.1,0.17,1248,50,-125,212,0.037,0.033,0.041,1248,46,41,51,0.0030000000000000027,0,4
2020,Colorectal Cancer,Male,60+,0.36,0.31,0.41,1342,483,416,550,0.36,0.344,0.376,1342,483,462,505,0,0,0
