Year,disease,sex,age_group,AAF_pipeline,LL_pipeline,UL_pipeline,muertes_pipeline,att_mort_pipeline,att_mort_low_pipeline,att_mort_up_pipeline,AAF_jrt,LL_jrt,UL_jrt,muertes_jrt,att_mort_jrt,att_mort_low_jrt,att_mort_up_jrt,diff_AAF,diff_muertes,diff_att_mort
2012,Breast Cancer,Female,15-29,0.0310631655812808,0.024751887961176947,0.03805392985521825,3,0,0,0,0.028,0.023,0.034,3,0,0,0,0.003063165581280801,0,0
2012,Breast Cancer,Female,30-44,0.022303967547439577,0.01790042988126,0.027113862835465873,116,3,2,3,0.02,0.016,0.024,116,2,2,3,0.002303967547439577,0,1
2012,Breast Cancer,Female,45-59,0.023740619447701807,0.01786582849010304,0.029395651598292584,372,9,7,11,0.018,0.014,0.022,372,7,5,8,0.0057406194477018085,0,2
2012,Breast Cancer,Female,60+,0.013741812204492238,0.010282607520912089,0.01740072356666164,876,12,9,15,0.014,0.01,0.017,876,12,9,15,-2.581877955077621e-4,0,0
2014,Breast Cancer,Female,15-29,0.03294746002959647,0.02711035383747195,0.03920399923462119,6,0,0,0,0.034,0.028,0.04,6,0,0,0,-0.0010525399704035335,0,0
2014,Breast Cancer,Female,30-44,0.03292918879512419,0.026491100101355056,0.03958882069796299,122,4,3,5,0.031,0.025,0.037,122,4,3,5,0.001929188795124187,0,0
2014,Breast Cancer,Female,45-59,0.02511820318961273,0.02059964228734375,0.029839687877673993,393,10,8,12,0.026,0.022,0.032,393,10,9,13,-8.817968103872684e-4,0,0
2014,Breast Cancer,Female,60+,0.021674513096734557,0.016709928961463488,0.02701331879095454,901,20,15,24,0.021,0.017,0.026,901,19,15,23,6.74513096734556e-4,0,1
2016,Breast Cancer,Female,15-29,0.034453471351363556,0.027839684482609227,0.04161573256900623,4,0,0,0,0.034,0.028,0.041,4,0,0,0,4.5347135136355327e-4,0,0
2016,Breast Cancer,Female,30-44,0.033036967581529596,0.026163686044838545,0.04052970254238721,114,4,3,5,0.026,0.022,0.032,114,3,3,4,0.007036967581529597,0,1
2016,Breast Cancer,Female,45-59,0.019575953643438983,0.015312287344556455,0.02407420385188635,415,8,6,10,0.02,0.016,0.024,415,8,7,10,-4.2404635656101766e-4,0,0
2016,Breast Cancer,Female,60+,0.016752895248866702,0.012307667632250444,0.02200217507595912,957,16,12,21,0.015,0.012,0.019,957,14,11,18,0.0017528952488667024,0,2
2018,Breast Cancer,Female,15-29,0.02647382546215396,0.021772661894104987,0.031492050273437946,9,0,0,0,0.029,0.023,0.035,9,0,0,0,-0.002526174537846041,0,0
2018,Breast Cancer,Female,30-44,0.024620267451200543,0.02007959125162242,0.029515781426702456,145,4,3,4,0.027,0.022,0.033,145,4,3,5,-0.0023797325487994563,0,0
2018,Breast Cancer,Female,45-59,0.015252800795761186,0.012055193013751036,0.018703407793033623,372,6,4,7,0.018,0.014,0.022,372,7,5,8,-0.002747199204238812,0,-1
2018,Breast Cancer,Female,60+,0.01414807943908154,0.009890492739599894,0.019060251892454444,1026,15,10,20,0.014,0.011,0.018,1026,14,11,18,1.480794390815391e-4,0,1
2020,Breast Cancer,Female,15-29,0.030912144117970858,0.024992706469206736,0.03743504325149556,7,0,0,0,0.032,0.026,0.038,7,0,0,0,-0.0010878558820291429,0,0
2020,Breast Cancer,Female,30-44,0.029007349739914718,0.02312584314771602,0.03538766820938306,128,4,3,5,0.032,0.026,0.038,128,4,3,5,-0.0029926502600852826,0,0
2020,Breast Cancer,Female,45-59,0.027101767359501427,0.021253580259542392,0.033396551541325925,420,11,9,14,0.025,0.021,0.03,420,10,9,13,0.002101767359501426,0,1
2020,Breast Cancer,Female,60+,0.018118109931497376,0.013229279207889308,0.02374520893086552,1089,20,14,26,0.018,0.014,0.022,1089,20,15,24,1.1810993149737742e-4,0,0
2022,Breast Cancer,Female,15-29,0.02847394790058845,0.023466436385782642,0.03387206048632848,7,0,0,0,0.029,0.024,0.035,7,0,0,0,-5.26052099411551e-4,0,0
2022,Breast Cancer,Female,30-44,0.030809185592536904,0.025717886994503787,0.0363134292757377,127,4,3,5,0.03,0.024,0.036,127,4,3,5,8.091855925369054e-4,0,0
