Chile, Life tables (period 5x1), Females	Last modified: 12 Jan 2026;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1992           0      0.01384  0.01368  0.12  100000    1368   98797  7747887  77.48
  1992         1-4      0.00061  0.00243  1.44   98632     240  393915  7649090  77.55
  1992         5-9      0.00024  0.00118  2.44   98392     116  491665  7255175  73.74
  1992        10-14     0.00021  0.00106  2.71   98276     104  491143  6763510  68.82
  1992        15-19     0.00039  0.00194  2.55   98172     190  490394  6272367  63.89
  1992        20-24     0.00047  0.00234  2.47   97982     229  489331  5781973  59.01
  1992        25-29     0.00053  0.00266  2.53   97753     260  488122  5292642  54.14
  1992        30-34     0.00063  0.00317  2.70   97493     309  486753  4804521  49.28
  1992        35-39     0.00108  0.00540  2.69   97184     525  484705  4317767  44.43
  1992        40-44     0.00169  0.00843  2.75   96659     815  481456  3833062  39.66
  1992        45-49     0.00265  0.01316  2.67   95844    1262  476283  3351606  34.97
  1992        50-54     0.00420  0.02080  2.65   94582    1968  468287  2875323  30.40
  1992        55-59     0.00665  0.03272  2.65   92614    3030  455959  2407036  25.99
  1992        60-64     0.01039  0.05076  2.73   89584    4547  437618  1951077  21.78
  1992        65-69     0.01760  0.08463  2.73   85037    7196  408836  1513459  17.80
  1992        70-74     0.02888  0.13515  2.63   77840   10520  364238  1104623  14.19
  1992        75-79     0.04843  0.21683  2.59   67320   14597  301394   740386  11.00
  1992        80-84     0.07684  0.32359  2.56   52723   17061  222042   438992   8.33
  1992        85-89     0.12407  0.47110  2.45   35663   16801  135413   216950   6.08
  1992        90-94     0.20036  0.64278  2.21   18862   12124   60511    81537   4.32
  1992        95-99     0.30015  0.79538  2.05    6738    5359   17855    21026   3.12
  1992       100-104    0.42372  0.89686  1.79    1379    1236    2918     3171   2.30
  1992       105-109    0.55802  0.95127  1.54     142     135     242      253   1.78
  1992       110+       0.66627  1.00000  1.50       7       7      10       10   1.50
  1993           0      0.01241  0.01228  0.12  100000    1228   98924  7765902  77.66
  1993         1-4      0.00058  0.00232  1.39   98772     229  394493  7666978  77.62
