Chile, Life tables (period 5x1), Males	Last modified: 12 Jan 2026;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1992           0      0.01624  0.01601  0.12  100000    1601   98586  7146150  71.46
  1992         1-4      0.00089  0.00354  1.44   98399     348  392707  7047564  71.62
  1992         5-9      0.00029  0.00145  2.59   98051     142  489914  6654857  67.87
  1992        10-14     0.00037  0.00183  2.73   97909     179  489139  6164943  62.97
  1992        15-19     0.00087  0.00435  2.86   97730     425  487742  5675804  58.08
  1992        20-24     0.00155  0.00774  2.54   97305     753  484667  5188062  53.32
  1992        25-29     0.00169  0.00841  2.47   96551     812  480699  4703394  48.71
  1992        30-34     0.00195  0.00971  2.53   95739     930  476400  4222695  44.11
  1992        35-39     0.00235  0.01170  2.52   94809    1109  471295  3746295  39.51
  1992        40-44     0.00327  0.01623  2.62   93700    1521  464879  3275000  34.95
  1992        45-49     0.00480  0.02374  2.57   92179    2189  455587  2810122  30.49
  1992        50-54     0.00717  0.03523  2.59   89991    3170  442308  2354535  26.16
  1992        55-59     0.01155  0.05620  2.64   86821    4880  422578  1912227  22.03
  1992        60-64     0.01906  0.09116  2.61   81941    7470  391848  1489649  18.18
  1992        65-69     0.02852  0.13385  2.71   74471    9968  349549  1097801  14.74
  1992        70-74     0.04657  0.20902  2.55   64503   13482  289500   748252  11.60
  1992        75-79     0.07238  0.30707  2.53   51021   15667  216460   458751   8.99
  1992        80-84     0.10891  0.42773  2.49   35354   15122  138843   242291   6.85
  1992        85-89     0.16555  0.57241  2.31   20232   11581   69953   103449   5.11
  1992        90-94     0.23439  0.71214  2.25    8651    6161   26283    33496   3.87
  1992        95-99     0.32924  0.82328  1.96    2490    2050    6227     7213   2.90
  1992       100-104    0.43714  0.90236  1.75     440     397     908      986   2.24
  1992       105-109    0.55162  0.94826  1.54      43      41      74       77   1.80
  1992       110+       0.64396  1.00000  1.55       2       2       3        3   1.55
  1993           0      0.01506  0.01486  0.12  100000    1486   98691  7142280  71.42
  1993         1-4      0.00071  0.00282  1.45   98514     277  393347  7043589  71.50
  1993         5-9      0.00032  0.00161  2.48   98236     158  490784  6650242  67.70
  1993        10-14     0.00036  0.00180  2.72   98078     177  489989  6159458  62.80
  1993        15-19     0.00093  0.00463  2.88   97902     453  488549  5669469  57.91
  1993        20-24     0.00159  0.00793  2.56   97448     773  485357  5180920  53.17
  1993        25-29     0.00189  0.00941  2.45   96676     910  481057  4695562  48.57
  1993        30-34     0.00192  0.00953  2.49   95766     913  476535  4214505  44.01
  1993        35-39     0.00240  0.01192  2.56   94853    1131  471506  3737970  39.41
  1993        40-44     0.00319  0.01580  2.59   93722    1481  465038  3266464  34.85
