"Sex","Scenario","Avoidable YLL rate per 100,000","Joint lower 95% simulation limit","Joint upper 95% simulation limit","Applicable causes","Modeled years","Interval method"
"Men","Baseline",0,0,0,22,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Women","Baseline",0,0,0,23,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Men","Volume -10%",51.9538766311693,41.0970503124098,64.4451103001052,22,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Women","Volume -10%",6.27925433510639,5.12576731386767,8.16097819606366,23,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Men","Volume -20%",95.8059809590953,76.5956612416875,117.477871234843,22,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Women","Volume -20%",12.2561091559426,10.0205328530252,15.7818813825498,23,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Men","Volume -30%",133.364751202049,107.610265191159,161.893308018363,22,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Women","Volume -30%",17.9473787925305,14.7039901135998,22.9319486076639,23,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Men","HED -10%: no shift",69.7311865811782,59.9112928769418,79.3148841583998,5,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Women","HED -10%: no shift",10.0114968863435,8.57962692495792,11.7071747092384,5,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Men","HED -25%: no shift",174.327966452945,149.778232192354,198.287210396,5,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Women","HED -25%: no shift",25.0287422158589,21.4490673123947,29.2679367730961,5,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Men","HED -50%: no shift",348.655932905891,299.556464384709,396.574420791999,5,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Women","HED -50%: no shift",50.0574844317178,42.8981346247895,58.5358735461922,5,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Men","HED -10%: complete shift",71.954850967532,62.2290827380916,81.4372563980282,5,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Women","HED -10%: complete shift",10.2187265607937,8.79976679494956,11.9495766585013,5,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Men","HED -25%: complete shift",179.88712741883,155.572706845229,203.593140995071,5,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Women","HED -25%: complete shift",25.5468164019843,21.9994169873739,29.8739416462532,5,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Men","HED -50%: complete shift",359.77425483766,311.145413690458,407.186281990141,5,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Women","HED -50%: complete shift",51.0936328039687,43.9988339747478,59.7478832925063,5,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Men","Combined 10/25: no shift",182.034662009475,157.241250197269,206.325304471743,5,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Women","Combined 10/25: no shift",25.7873457678462,22.2186465767377,30.1964804749564,5,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Men","Combined 20/50: no shift",361.746360342411,312.3512222179,409.996642834109,5,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Women","Combined 20/50: no shift",51.3145271295708,44.1702139719528,60.0604228271534,5,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Men","Combined 30/50: no shift",367.509511369613,318.204317074719,415.912277594347,5,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Women","Combined 30/50: no shift",51.7746740277706,44.6455118817054,60.6366728488579,5,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Men","Combined 10/25: complete shift",186.539005810125,162.085755241516,210.689948720419,5,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Women","Combined 10/25: complete shift",26.1541350375164,22.6072994226138,30.6594938206777,5,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Men","Combined 20/50: complete shift",368.799098862448,320.070667086462,416.72015678029,5,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Women","Combined 20/50: complete shift",51.7697286412794,44.655487975426,60.6574943431167,5,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Men","Combined 30/50: complete shift",372.752404899249,323.957803002849,420.697233032964,5,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Women","Combined 30/50: complete shift",51.9742304234386,44.8506980910404,60.9518768536535,5,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
