"Cause group","Sex","Age group (years)","Median annual alcohol-attributable deaths","Joint lower 95% simulation limit","Joint upper 95% simulation limit","Modeled years","Interval method"
"Cancer","Men","15-29",3.7088193398183,3.0303334504108,4.22613779991155,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Cancer","Men","30-44",27.3370426719672,21.3217651556577,30.2409597958802,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Cancer","Men","45-59",160.741061795767,134.711631513142,187.987660167032,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Cancer","Men","60-65",149.426084797961,119.810012189274,189.59214395356,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Cancer","Women","15-29",1.50634908571881,0.894759444984759,1.91898213057479,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Cancer","Women","30-44",17.5881561815669,12.6870326417948,22.3834926898375,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Cancer","Women","45-59",84.2349469072704,59.8174531107449,111.197898200796,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Cancer","Women","60-65",78.4058973915439,50.5079805776835,99.2186754763777,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Cardiovascular","Men","15-29",3.42521564209098,2.49479163248873,4.37468643447074,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Cardiovascular","Men","30-44",22.9670972662515,17.5902141480766,28.747649955166,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Cardiovascular","Men","45-59",113.026137631374,88.5289691466219,142.214083932937,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Cardiovascular","Men","60-65",79.2293335776881,62.8237467602601,111.906146349094,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Cardiovascular","Women","15-29",3.15044999850196,1.87582757709905,3.98865983734257,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Cardiovascular","Women","30-44",15.195866580378,10.9548056278207,19.7039518963683,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Cardiovascular","Women","45-59",74.4540765566708,55.8390916882917,95.6212180820059,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Cardiovascular","Women","60-65",63.9969831789175,41.8658187935482,77.4175812534262,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Fully attributable","Men","15-29",4,4,4,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Fully attributable","Men","30-44",40,40,40,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Fully attributable","Men","45-59",95,95,95,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Fully attributable","Men","60-65",40,40,40,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Fully attributable","Women","15-29",1,1,1,4,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Fully attributable","Women","30-44",3.5,3.5,3.5,6,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Fully attributable","Women","45-59",10,10,10,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Fully attributable","Women","60-65",4,4,4,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Injuries","Men","15-29",339.076460884855,233.271584795314,431.322615099628,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Injuries","Men","30-44",404.054748491074,296.997695941168,524.175894587723,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Injuries","Men","45-59",323.457359939623,228.386463620682,411.164439963159,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Injuries","Men","60-65",75.5709858451971,54.0996392013212,102.637200592149,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Injuries","Women","15-29",51.062047917904,35.0068604576171,67.3371031820003,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Injuries","Women","30-44",47.1513604345319,30.3679322832758,59.7951105621095,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Injuries","Women","45-59",34.7173140888571,22.5947232039528,44.8533373936604,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Injuries","Women","60-65",9.73172845992088,5.78225944320049,12.540606749245,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Neuropsychiatric","Men","15-29",1.91250129701527,1.66192336485264,2.51756577662351,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Neuropsychiatric","Men","30-44",4.7822851654844,3.7159191850974,5.60332523047311,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Neuropsychiatric","Men","45-59",7.05951526332097,5.43330204568706,8.08406006109045,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Neuropsychiatric","Men","60-65",1.94142380542796,1.31804484800866,2.5099989684513,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Neuropsychiatric","Women","15-29",0.683165193208129,0.510966113373695,0.836096035852956,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Neuropsychiatric","Women","30-44",0.880313821494001,0.629885049906399,1.15416844703675,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Neuropsychiatric","Women","45-59",1.10530191064553,0.760688509160652,1.31003901156243,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Neuropsychiatric","Women","60-65",0.399019108793416,0.263753451066891,0.493226748562323,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Other causes","Men","15-29",7.98797715729135,6.11078515099385,9.97390802337647,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Other causes","Men","30-44",136.769371828296,104.460502887387,151.981148567798,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Other causes","Men","45-59",548.929881806626,440.088389552037,608.933501167516,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Other causes","Men","60-65",217.540282687491,171.1859572268,261.704095293256,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Other causes","Women","15-29",2.50511238744209,1.44660171340128,3.01964743298503,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Other causes","Women","30-44",27.6669587571869,23.1179733094006,32.0157435249847,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Other causes","Women","45-59",92.3933856773122,76.5929222969414,113.3984868918,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
"Other causes","Women","60-65",56.74725642683,42.9617028630191,70.981200684857,7,"Joint 2.5% and 97.5% quantiles of the draw-wise median annual AAF-attributable deaths"
