"Cause","Cause group","Scenario","Age group (years)","Total expected avoidable deaths","Joint lower 95% simulation limit","Joint upper 95% simulation limit","Contributing cells","Interval method"
"Acute Pancreatitis","Other causes","Baseline","15-29",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Acute Pancreatitis","Other causes","Baseline","30-44",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Acute Pancreatitis","Other causes","Baseline","45-59",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Acute Pancreatitis","Other causes","Baseline","60-65",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Breast Cancer","Cancer","Baseline","15-29",0,0,0,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Breast Cancer","Cancer","Baseline","30-44",0,0,0,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Breast Cancer","Cancer","Baseline","45-59",0,0,0,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Breast Cancer","Cancer","Baseline","60-65",0,0,0,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Colon and rectum Cancer","Cancer","Baseline","15-29",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Colon and rectum Cancer","Cancer","Baseline","30-44",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Colon and rectum Cancer","Cancer","Baseline","45-59",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Colon and rectum Cancer","Cancer","Baseline","60-65",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"DM2","Other causes","Baseline","15-29",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"DM2","Other causes","Baseline","30-44",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"DM2","Other causes","Baseline","45-59",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"DM2","Other causes","Baseline","60-65",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
